Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 1,D2,R26,7.351403351980104,14540,0.918925418997513,1.1762245363168167
1,Truck 1,R26,R5,1.3137752158917912,13980,0.15993043530576911,0.20375777748337756
1,Truck 1,R5,R11,1.7517546837663514,13530,0.2066723317326984,0.2612216584432383
1,Truck 1,R11,R14,2.2944141072411055,12830,0.2641508297537538,0.3311298439570363
1,Truck 1,R14,R17,0.133416822366009,12420,0.014803257160219947,0.01825853686352955
1,Truck 1,R17,R2,0.4106782600422482,11820,0.04461954150828425,0.054406655890397046
1,Truck 1,R2,R3,5.473243103640858,11040,0.5771028156517143,0.6900664905070394
1,Truck 1,R3,R12,0.7052676315517342,10390,0.07161531595773094,0.08305231629153222
1,Truck 1,R12,R10,1.8713099841051757,9490,0.1843413000694663,0.2073910478384296
1,Truck 1,R10,R23,4.787617877801558,8870,0.45288685228620396,0.4846345990435924
1,Truck 1,R23,R13,9.60770306621258,8370,0.8846329015603013,0.9090168127712596
1,Truck 1,R13,R20,3.632006506183366,7620,0.32738475808395223,0.32426554087205095
1,Truck 1,R20,R6,4.906576678531324,7008,0.42874665139211154,0.39880655243102603
1,Truck 1,R6,R28,3.858918832902526,6378,0.32898980637894953,0.2884619005971296
1,Truck 1,R28,R7,3.14788787465494,5830,0.26180909832786686,0.2141571078885249
1,Truck 1,R7,R1,1.3018916129604698,5230,0.10602298818832209,0.08096029977130176
1,Truck 1,R1,R70,13.92492163245411,4580,1.1087309543330943,0.7768249614691733
1,Truck 1,R70,R8,26.790448123208968,4180,2.082806685229266,1.3088026923125022
1,Truck 1,R8,R24,21.32972231198121,3680,1.6345449815046396,0.951021218816869
