Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 1,D2,R2,7.296745246572717,14400,0.9120931558215897,1.167479239451635
1,Truck 1,R2,R14,0.4746892068479434,13700,0.057329614353616346,0.0729122621718441
1,Truck 1,R14,R17,0.133416822366009,13290,0.015501567277228,0.019496644975086113
1,Truck 1,R17,R11,2.2548204499804485,12840,0.2562878438259205,0.31964334698922836
1,Truck 1,R11,R26,1.4939698257461405,12380,0.16584922577110797,0.2046141073341914
1,Truck 1,R26,R5,1.3137752158917912,11820,0.14245068843701653,0.17348839650923067
1,Truck 1,R5,R1,4.406959354796494,11220,0.4646730656681246,0.555629435452742
1,Truck 1,R1,R7,1.3018916129604698,10672,0.13333588825895842,0.15581038823910903
1,Truck 1,R7,R28,3.14788787465494,10042,0.31416882764560666,0.3583387669153869
1,Truck 1,R28,R6,3.858918832902526,9430,0.37415344261720873,0.41334680448007644
1,Truck 1,R6,R13,2.6892581768463204,8930,0.2537195587942311,0.27050351581504856
1,Truck 1,R13,R20,3.632006506183366,8180,0.33528277181826877,0.3459607264023196
1,Truck 1,R20,R23,8.414315703936735,7560,0.7524426824791405,0.7341770928874933
1,Truck 1,R23,R10,4.787617877801558,6660,0.4173307076186853,0.38607350566591764
1,Truck 1,R10,R12,1.8713099841051757,6010,0.15735872722041505,0.13293786127083168
1,Truck 1,R12,R3,0.7052676315517342,5230,0.05783094338422355,0.04521235696667651
1,Truck 1,R3,R70,8.617798444803782,4580,0.6861668701738772,0.480758249240787
1,Truck 1,R70,R8,26.790448123208968,4180,2.082806685229266,1.3088026923125022
1,Truck 1,R8,R24,21.32972231198121,3680,1.6345449815046396,0.951021218816869
