Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 4,D5,R4,2.302287565427743,14590,0.2877859456784679,0.3683660104684389
1,Truck 4,R4,R32,2.665571018743977,13990,0.32541356947309885,0.414833932410396
1,Truck 4,R32,R15,1.9508310318230264,13390,0.23028618460175804,0.2911160121088442
1,Truck 4,R15,R37,11.031241257655868,12710,1.2605212071671976,1.5755554180267954
1,Truck 4,R37,R33,0.23350218756434948,12180,0.025748237987688324,0.031656669908724074
1,Truck 4,R33,R9,2.3136618878025317,11580,0.24835357318618848,0.3005909524633049
1,Truck 4,R9,R21,2.7708997356638365,11070,0.2887557040083198,0.3422615353491971
1,Truck 4,R21,R16,1.0609626519667468,10450,0.10788719259373061,0.12527846994423344
1,Truck 4,R16,R18,0.5482677706217646,9700,0.05415881830310483,0.06111358083197269
1,Truck 4,R18,R31,1.8011112931653726,8970,0.1719711610278841,0.18635498179951054
1,Truck 4,R31,R22,9.098700634556051,8240,0.8413816011241031,0.870563676714323
1,Truck 4,R22,R27,2.7386105291128464,7705,0.24551253846935628,0.2407056081054918
1,Truck 4,R27,R36,0.6502752708018138,6895,0.05702001614606849,0.05344395692296507
1,Truck 4,R36,R30,3.277710877624855,6050,0.27818860533778156,0.2410647093463827
1,Truck 4,R30,R35,2.2901102240786937,5420,0.18807365650796828,0.14778844646054504
1,Truck 4,R35,R38,2.2626537007426815,4700,0.18143807073206578,0.1308115526189369
1,Truck 4,R38,R34,12.968710838785523,3990,1.0126531107849186,0.6501647033844475
