Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 1,M1,R70,10.970863902680248,4350,1.371357987835031,1.7553382244288398
1,Truck 1,R70,R10,8.55337024158665,3450,0.9599742134216218,1.1906291376288618
1,Truck 1,R10,R12,1.8713099841051757,2800,0.18400294828959446,0.20659262224521138
1,Truck 1,R12,R3,0.7052676315517342,2020,0.06365231331694352,0.06319197978703539
1,Truck 1,R3,R7,6.6202330155761695,1472,0.5438903233302801,0.42793186212684364
1,Truck 1,R7,R1,1.3018916129604698,872,0.10061608236679778,0.061324302536889974
1,Truck 1,R1,D3,1.594622912048091,-9128,0.11572681375174837,0.04449635773778993
1,Truck 1,D3,R14,6.496906647195792,-9828,0.2338766648138101,-1.897720444019302
1,Truck 1,R14,R17,0.133416822366009,-10238,0.0046391006135778805,-0.04195905696682037
1,Truck 1,R17,R2,0.4106782600422482,-10838,0.014000458867162405,-0.1345447688420012
1,Truck 1,R2,R11,2.5967264225123965,-11288,0.08606069036470763,-0.9005862709500594
1,Truck 1,R11,R26,1.4939698257461405,-11748,0.048500474812556496,-0.5396458045767178
1,Truck 1,R26,R5,1.3137752158917912,-12308,0.04177717621574548,-0.4938953995614965
1,Truck 1,R5,R28,6.511958155117337,-12938,0.20203896085523768,-2.5647737911418935
1,Truck 1,R28,R6,3.858918832902526,-13550,0.11653717650068632,-1.5976541395229724
1,Truck 1,R6,D1,2.9911680528228795,-23550,0.08805322498742654,-1.2969704677040004
1,Truck 1,D1,R13,1.048601044314189,-24050,0.02185951728818405,-0.790225746995173
1,Truck 1,R13,R25,1.020831561204609,-24560,0.020974554370343314,-0.785631969503067
1,Truck 1,R25,W2,1.5005560665010058,-74560,0.030385470324416936,-1.1793170237844706
1,Truck 1,W2,R20,4.583758567560143,-75310,0.038395082821484815,-10.936481241513098
1,Truck 1,R20,R23,8.414315703936735,-75930,0.06986661328143828,-20.277827701231217
1,Truck 1,R23,W1,6.91075083157595,-125930,0.05697145003030412,-16.79146594052998
1,Truck 1,W1,D2,25.77485153268632,-135930,0.1347338320178896,-103.86646571235804
1,Truck 1,D2,R8,11.46438472840083,-136330,0.05584156378603632,-49.8673221162088
1,Truck 1,R8,R24,21.32972231198121,-136830,0.10361175113416374,-93.05219336935674
