Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 1,D3,R7,1.4690210619069823,14452,0.1836276327383728,0.23504336990511718
1,Truck 1,R7,R1,1.3018916129604698,13852,0.15769545361935985,0.20069266763205026
1,Truck 1,R1,R26,5.467295126270877,13392,0.6405185017812425,0.8078183689504448
1,Truck 1,R26,R11,1.4939698257461405,12942,0.17073160378338598,0.21341060166818468
1,Truck 1,R11,R5,1.7517546837663514,12382,0.19549960758072757,0.24182623058457728
1,Truck 1,R5,R17,3.8452957163844843,11972,0.4169818815390257,0.507866149976242
1,Truck 1,R17,R14,0.133416822366009,11272,0.014173576698278529,0.01703750610523584
1,Truck 1,R14,R2,0.4746892068479434,10672,0.048737392555026494,0.057074098555626854
1,Truck 1,R2,R12,5.356772233066304,10022,0.5346222354287178,0.6097863815603585
1,Truck 1,R12,R3,0.7052676315517342,9242,0.06831958509277614,0.07539405016972246
1,Truck 1,R3,R10,1.6334859323431203,8342,0.15284698629587667,0.1610312211916279
1,Truck 1,R10,R70,8.55337024158665,7692,0.7700836321849138,0.7610902885900357
1,Truck 1,R70,R23,11.790655276143147,7072,1.0333253239275701,0.967399684096993
1,Truck 1,R23,R6,7.765049741069614,6460,0.6636945919909526,0.5857539388676727
1,Truck 1,R6,R28,3.858918832902526,5830,0.3219700884054839,0.2659052337125367
1,Truck 1,R28,R13,4.6238520026076895,5330,0.37655562212452,0.28754194320216353
1,Truck 1,R13,R20,3.632006506183366,4580,0.290266383892325,0.20649167656487832
1,Truck 1,R20,R24,19.67539029381513,4080,1.5296509505920337,0.9612084004871819
1,Truck 1,R24,R8,21.32972231198121,3680,1.6287203964554986,0.9282695150174224
