From,To,Distance
M1,W2,27.27143402831846
M1,W4,42.633012303752764
M1,W1,18.405728819669836
M1,W3,26.243476557488584
W2,D3,7.438021911048757
W2,D1,1.7641206636931808
W2,D2,19.36341813855869
W1,D3,15.577010283443533
W1,D1,11.433912723891032
W1,D2,25.707754625345338
W4,D4,7.0578482788321955
W4,D5,8.726499380583597
W4,D6,13.446280521565715
W3,D4,32.56619590896194
W3,D5,20.225380764086264
W3,D6,21.270673605118102
D3,R8,20.275392368355103
D3,R1,1.5964255712814073
D3,R10,7.621742988930807
D3,R11,4.252206013143768
D3,R12,7.263689282808887
D3,R13,6.915945923115694
D3,R14,6.46312131889136
D3,R17,6.397004201113577
D3,R2,6.6663883132466975
D3,R20,9.664222139668317
D3,R23,9.763323791460543
D3,R24,16.980310588957217
D3,R26,4.764537384275246
D3,R28,3.5118143094696515
D3,R3,6.692032754460888
D3,R5,3.525162767245418
D3,R6,4.778387352095427
D3,R7,1.4643615272577124
D3,R70,15.034221750327534
D1,R8,27.08380560947831
D1,R1,7.19295538886326
D1,R10,10.744750996821656
D1,R11,11.646923263666764
D1,R12,11.704164188113866
D1,R13,1.0484489562159083
D1,R14,13.647785621284678
D1,R17,13.553985389954136
D1,R2,13.728075446285683
D1,R20,2.5859667251911493
D1,R23,9.049108381073006
D1,R24,17.4613543197188
D1,R26,12.336167169353047
D1,R28,5.56266417515551
D1,R3,11.00469481701497
D1,R5,11.097784910342416
D1,R6,2.9748640320121087
D1,R7,6.2223818302321465
D1,R70,19.263692430278
D2,R8,11.474156349764058
D2,R1,12.712027502781403
D2,R10,14.347826334957247
D2,R11,8.26056468896135
D2,R12,12.553081238879507
D2,R13,18.947008869706092
D2,R14,7.032925868781851
D2,R17,7.1652856624251475
D2,R2,7.281117979040634
D2,R20,21.654754032493482
D2,R23,18.87068133471831
D2,R24,22.229755276978107
D2,R26,7.316342765237315
D2,R28,14.79776015126265
D2,R3,12.730276557418353
D2,R5,8.543399745994325
D2,R6,16.80138924187917
D2,R7,13.4536909627295
D2,R70,15.358914090433668
D4,R18,11.354708575785423
D4,R27,18.589080613157535
D4,R30,21.695776267469473
D4,R31,9.590576260961402
D4,R32,14.628985421607998
D4,R33,3.2872508484873126
D4,R34,29.086770831223067
D4,R35,22.827968777638212
D4,R36,18.428069224289516
D4,R37,3.349674839607528
D4,R38,21.04564472494084
D4,R9,4.1552264049823115
D4,R4,16.301094491880473
D4,R15,12.773974138669908
D4,R18,7.921680049376799
D4,R16,7.782817881608385
D4,R21,6.727558590568317
D4,R22,18.436753966029528
D5,R18,4.762557045117752
D5,R27,3.820522415252093
D5,R30,6.979246696310173
D5,R31,6.478481953562561
D5,R32,4.277212547063927
D5,R33,13.189081527014892
D5,R34,15.44929147688271
D5,R35,7.375470634579094
D5,R36,4.11116729467168
D5,R37,13.305549233927477
D5,R38,5.3639101967433165
D5,R9,11.59161858265806
D5,R4,2.290604035574628
D5,R15,4.395376463906026
D5,R18,7.883709289275684
D5,R16,8.143190107380507
D5,R21,9.187463232554968
D5,R22,2.6918436509768893
D6,R18,9.116752962736713
D6,R27,2.010186407556278
D6,R30,1.2691242353420096
D6,R31,10.8524921296616
D6,R32,5.98341507159392
D6,R33,18.30289146343073
D6,R34,15.931190933867985
D6,R35,2.965283201636395
D6,R36,2.0135194352203896
D6,R37,18.452233309737853
D6,R38,3.0577357982077067
D6,R9,16.400846150326274
D6,R4,4.239724016477919
D6,R15,7.689412869938157
D6,R18,12.583714227761904
D6,R16,12.66251248467868
D6,R21,13.711620956659488
D6,R22,4.149849142557936
